Month,Place,Outdoor.Temperatures
Jan,1.Concord,46.9
Jan,1.Concord,48
Jan,1.Concord,48
Jan,1.Concord,48.2
Jan,1.Concord,48.9
Jan,1.Concord,48.9
Jan,1.Concord,50
Jan,1.Concord,50.2
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,49.8
Jan,1.Concord,48.7
Jan,1.Concord,47.3
Jan,1.Concord,46.8
Jan,1.Concord,46.8
Jan,1.Concord,46.2
Jan,1.Concord,46.8
Jan,1.Concord,46.9
Jan,1.Concord,47.1
Jan,1.Concord,48
Jan,1.Concord,48.2
Jan,1.Concord,50
Jan,1.Concord,51.3
Jan,1.Concord,53.6
Jan,1.Concord,52.3
Jan,1.Concord,55.2
Jan,1.Concord,55.8
Jan,1.Concord,55.9
Jan,1.Concord,55.4
Jan,1.Concord,54.9
Jan,1.Concord,52.5
Jan,1.Concord,48.6
Jan,1.Concord,46
Jan,1.Concord,45.9
Jan,1.Concord,44.6
Jan,1.Concord,41.9
Jan,1.Concord,39.7
Jan,1.Concord,38.8
Jan,1.Concord,39
Jan,1.Concord,47.1
Jan,1.Concord,47.5
Jan,1.Concord,42.4
Jan,1.Concord,39.2
Jan,1.Concord,41.4
Jan,1.Concord,43.5
Jan,1.Concord,47.7
Jan,1.Concord,53.2
Jan,1.Concord,54.5
Jan,1.Concord,58.1
Jan,1.Concord,59.2
Jan,1.Concord,60.1
Jan,1.Concord,60.4
Jan,1.Concord,59.5
Jan,1.Concord,58.5
Jan,1.Concord,53.4
Jan,1.Concord,49.5
Jan,1.Concord,45
Jan,1.Concord,44.1
Jan,1.Concord,44.1
Jan,1.Concord,43.9
Jan,1.Concord,42.1
Jan,1.Concord,39.9
Jan,1.Concord,39.9
Jan,1.Concord,39
Jan,1.Concord,36.7
Jan,1.Concord,35.1
Jan,1.Concord,34
Jan,1.Concord,36
Jan,1.Concord,41
Jan,1.Concord,43
Jan,1.Concord,39.9
Jan,1.Concord,44.1
Jan,1.Concord,47.1
Jan,1.Concord,48.9
Jan,1.Concord,53.1
Jan,1.Concord,53.4
Jan,1.Concord,52
Jan,1.Concord,50.7
Jan,1.Concord,47.7
Jan,1.Concord,44.8
Jan,1.Concord,42.8
Jan,1.Concord,42.8
Jan,1.Concord,40.8
Jan,1.Concord,39.9
Jan,1.Concord,39.6
Jan,1.Concord,37
Jan,1.Concord,37
Jan,1.Concord,36.9
Jan,1.Concord,35.8
Jan,1.Concord,34
Jan,1.Concord,34.5
Jan,1.Concord,36
Jan,1.Concord,37.9
Jan,1.Concord,39
Jan,1.Concord,42.3
Jan,1.Concord,44.6
Jan,1.Concord,49.6
Jan,1.Concord,51.8
Jan,1.Concord,51.1
Jan,1.Concord,50.9
Jan,1.Concord,49.5
Jan,1.Concord,47.7
Jan,1.Concord,45.1
Jan,1.Concord,46
Jan,1.Concord,46.4
Jan,1.Concord,48
Jan,1.Concord,46.8
Jan,1.Concord,48
Jan,1.Concord,48
Jan,1.Concord,48
Jan,1.Concord,48
Jan,1.Concord,48
Jan,1.Concord,46.8
Jan,1.Concord,46.2
Jan,1.Concord,46
Jan,1.Concord,46
Jan,1.Concord,46.2
Jan,1.Concord,46
Jan,1.Concord,47.1
Jan,1.Concord,48.2
Jan,1.Concord,49.1
Jan,1.Concord,50
Jan,1.Concord,52
Jan,1.Concord,53.1
Jan,1.Concord,53.4
Jan,1.Concord,53.2
Jan,1.Concord,53.2
Jan,1.Concord,50.9
Jan,1.Concord,50
Jan,1.Concord,48.7
Jan,1.Concord,47.8
Jan,1.Concord,47.3
Jan,1.Concord,47.8
Jan,1.Concord,46.8
Jan,1.Concord,46
Jan,1.Concord,44.6
Jan,1.Concord,41.7
Jan,1.Concord,38.8
Jan,1.Concord,37
Jan,1.Concord,37.8
Jan,1.Concord,43.5
Jan,1.Concord,47.5
Jan,1.Concord,51.3
Jan,1.Concord,53.2
Jan,1.Concord,54.1
Jan,1.Concord,55.8
Jan,1.Concord,55
Jan,1.Concord,54.7
Jan,1.Concord,54
Jan,1.Concord,52.9
Jan,1.Concord,50.9
Jan,1.Concord,49.5
Jan,1.Concord,45.9
Jan,1.Concord,43.9
Jan,1.Concord,42.8
Jan,1.Concord,42.3
Jan,1.Concord,44.1
Jan,1.Concord,43.9
Jan,1.Concord,43.2
Jan,1.Concord,43.9
Jan,1.Concord,43
Jan,1.Concord,43
Jan,1.Concord,43.2
Jan,1.Concord,44.2
Jan,1.Concord,46.4
Jan,1.Concord,49.3
Jan,1.Concord,52.2
Jan,1.Concord,52.9
Jan,1.Concord,52.2
Jan,1.Concord,53.2
Jan,1.Concord,54
Jan,1.Concord,53.8
Jan,1.Concord,52.9
Jan,1.Concord,52
Jan,1.Concord,51.8
Jan,1.Concord,50.9
Jan,1.Concord,49.1
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,49.8
Jan,1.Concord,48.7
Jan,1.Concord,50.9
Jan,1.Concord,49.8
Jan,1.Concord,49.1
Jan,1.Concord,50
Jan,1.Concord,50
Jan,1.Concord,50.2
Jan,1.Concord,51.3
Jan,1.Concord,53.2
Jan,1.Concord,53.4
Jan,1.Concord,53.2
Jan,1.Concord,54.1
Jan,1.Concord,55
Jan,1.Concord,55
Jan,1.Concord,57
Jan,1.Concord,57
Jan,1.Concord,55.4
Jan,1.Concord,53.8
Jan,1.Concord,52
Jan,1.Concord,51.8
Jan,1.Concord,50.9
Jan,1.Concord,49.1
Jan,1.Concord,49.8
Jan,1.Concord,48.4
Jan,1.Concord,46
Jan,1.Concord,45.1
Jan,1.Concord,46.2
Jan,1.Concord,44.1
Jan,1.Concord,44.2
Jan,1.Concord,45
Jan,1.Concord,44.8
Jan,1.Concord,44.4
Jan,1.Concord,46.8
Jan,1.Concord,48.4
Jan,1.Concord,51.4
Jan,1.Concord,54
Jan,1.Concord,54.1
Jan,1.Concord,55.2
Jan,1.Concord,55.8
Jan,1.Concord,55.8
Jan,1.Concord,55.6
Jan,1.Concord,55.6
Jan,1.Concord,52.9
Jan,1.Concord,50.7
Jan,1.Concord,48
Jan,1.Concord,47.8
Jan,1.Concord,46.8
Jan,1.Concord,45
Jan,1.Concord,45.1
Jan,1.Concord,46.9
Jan,1.Concord,46.9
Jan,1.Concord,46.9
Jan,1.Concord,47.1
Jan,1.Concord,47.7
Jan,1.Concord,45.1
Jan,1.Concord,47.1
Jan,1.Concord,48
Jan,1.Concord,48.2
Jan,1.Concord,49.1
Jan,1.Concord,50.4
Jan,1.Concord,51.1
Jan,1.Concord,53.8
Jan,1.Concord,53.1
Jan,1.Concord,52
Jan,1.Concord,53.6
Jan,1.Concord,52
Jan,1.Concord,52
Jan,1.Concord,51.1
Jan,1.Concord,51.1
Jan,1.Concord,51.3
Jan,1.Concord,52
Jan,1.Concord,52
Jan,1.Concord,51.8
Jan,1.Concord,51.3
